id,odasalon,brut,net,kati,yasi,isinma,esyali,kredi,tapu,banyo,fiyat,ilce
0,1 + 1,60.0,45 ,Giriş Katı,42 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,415.000 TL,Adalar
1,3 + 1,130.0,108 ,3. Kat,25 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.100.000 TL,Adalar
2,3 + 1,130.0,115 ,Yüksek Giriş,30 Yaşında,Belirtilmemiş,Eşyalı,Uygun,Kat Mülkiyeti,1,840.000 TL,Adalar
3,4 + 2,165.0,150 ,En Üst Kat,32 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,700.000 TL,Adalar
4,3 + 1,140.0,135 ,3. Kat,22 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.650.000 TL,Adalar
5,4 + 2,160.0,125 ,3. Kat,25 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.325.000 TL,Adalar
6,4 + 1,150.0,140 ,Bahçe Katı,23 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.450.000 TL,Adalar
7,2 + 1,105.0,87 ,Bahçe Katı,21 Yaşında,Klima,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,680.000 TL,Adalar
8,6 + 2,220.0,200 ,Yüksek Giriş,27 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,1.200.000 TL,Adalar
9,3 + 1,130.0,120 ,2. Kat,35 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.100.000 TL,Adalar
10,3 + 1,140.0,130 ,3. Kat,23 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.800.000 TL,Adalar
11,3 + 1,140.0,120 ,Bahçe Katı,10 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,700.000 TL,Adalar
12,2 + 1,70.0,60 ,2. Kat,45 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,550.000 TL,Adalar
13,4 + 1,160.0,130 ,3. Kat,25 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.300.000 TL,Adalar
14,1 + 1,60.0,55 ,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,375.000 TL,Adalar
15,2 + 1,100.0,80 ,2. Kat,30 Yaşında,Klima,Eşyalı,Uygun,Kat Mülkiyeti,1,1.190.000 TL,Adalar
16,2 + 1,90.0,80 ,Ara Kat,32 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,575.000 TL,Adalar
